VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2),Number of Users(C3),Number of Users(C4)
6,2,4,6,8,14,4
6,3,4,6,20,5,1
6,4,4,17,7,7,1
6,5,4,6,7,5,14
6,6,4,5,6,8,13
6,7,4,9,3,16,4
6,8,4,11,6,12,3
6,9,4,12,4,6,10
6,10,4,9,4,10,9
6,11,4,11,11,3,7
6,12,4,7,10,7,8
6,13,4,9,9,7,7
6,14,4,4,12,7,9
6,15,4,14,10,5,3
6,16,4,8,15,3,6
6,17,4,12,5,8,7
6,18,4,15,6,7,4
6,19,4,17,4,2,9
6,20,4,12,7,5,8
6,21,4,3,11,14,4
6,22,4,18,11,2,1
6,23,4,22,4,5,1
6,24,4,16,5,4,7
6,25,4,16,5,9,2
6,26,4,4,7,19,2
6,27,4,21,5,2,4
6,28,4,4,17,3,8
6,29,4,3,19,5,5
6,30,4,16,3,7,6
6,31,4,8,3,2,19
6,32,4,18,2,3,9
6,33,4,6,5,19,2
6,34,4,4,6,18,4
6,35,4,17,4,6,5
6,36,4,14,3,10,5
6,37,4,2,20,8,2
6,38,4,2,10,2,18
6,39,4,7,6,2,17
6,40,4,8,8,14,2
6,41,4,19,2,7,4
6,42,4,5,8,1,18
6,43,4,15,10,5,2
6,44,4,21,2,2,7
6,45,4,4,15,3,10
6,46,4,15,4,4,9
6,47,4,7,3,6,16
6,48,4,3,22,6,1
6,49,4,18,2,11,1
6,50,4,13,15,3,1
6,51,4,20,3,8,1
6,52,4,3,7,1,21
6,53,4,22,2,2,6
6,54,4,24,2,5,1
6,55,4,17,2,12,1
6,56,4,19,2,5,6
6,57,4,5,18,2,7
6,58,4,6,4,20,2
6,59,4,6,6,19,1
7,0,4,13,8,6,5
7,1,4,9,12,10,1
7,2,4,17,12,1,2
7,3,4,14,10,7,1
7,4,4,8,10,5,9
7,5,4,11,6,1,14
7,6,4,18,1,11,2
7,7,4,6,1,24,1
7,8,4,17,2,1,12
7,9,4,20,1,2,9
7,10,4,16,2,2,12
7,11,4,15,12,1,4
7,12,4,1,7,14,10
7,13,4,5,17,9,1
7,14,4,19,4,6,3
7,15,4,3,5,6,18
7,16,4,5,10,16,1
7,17,4,5,10,10,7
7,18,4,4,10,6,12
7,19,4,8,5,15,4
7,20,4,23,5,3,1
7,21,4,14,2,5,11
7,22,4,22,2,6,2
7,23,4,2,25,2,3
7,24,4,26,2,2,2
7,25,4,27,3,1,1
7,26,4,27,1,1,3
7,27,4,10,9,2,11
7,28,4,8,9,5,10
7,29,4,14,11,5,2
7,30,4,15,1,11,5
7,31,4,4,16,3,9
7,32,4,7,7,16,2
7,33,4,16,2,13,1
7,34,4,14,9,8,1
7,35,4,7,2,14,9
7,36,4,10,1,7,14
7,37,4,5,14,3,10
7,38,4,14,4,3,11
7,39,4,14,15,2,1
7,40,4,1,15,14,2
7,41,4,11,4,16,1
7,42,4,11,9,10,2
7,43,4,1,10,16,5
7,44,4,13,3,16,0
7,45,4,14,11,1,6
7,46,4,6,15,1,10
7,47,4,17,5,9,1
7,48,4,15,5,2,10
7,49,4,8,7,11,6
7,50,4,12,16,2,2
7,51,4,15,13,1,3
7,52,4,4,16,11,1
7,53,4,13,6,6,7
7,54,4,3,12,6,11
7,55,4,3,8,7,14
7,56,4,8,9,3,12
7,57,4,6,9,15,2
7,58,4,11,6,5,10
7,59,4,3,11,6,12
8,0,4,12,16,3,1
8,1,4,16,6,2,8
8,2,4,9,9,6,8
8,3,4,5,12,6,9
8,4,4,1,10,13,8
8,5,4,14,9,1,8
8,6,4,9,11,2,10
8,7,4,12,9,5,6
8,8,4,6,8,8,10
8,9,4,3,11,12,6
8,10,4,12,15,2,3
8,11,4,15,9,7,1
8,12,4,13,9,9,1
8,13,4,14,9,7,2
8,14,4,6,11,3,12
8,15,4,8,5,3,16
8,16,4,13,9,7,3
8,17,4,13,5,8,6
8,18,4,8,4,16,4
8,19,4,7,14,7,4
8,20,4,13,5,8,6
8,21,4,14,5,9,4
8,22,4,16,8,6,2
8,23,4,4,4,5,19
8,24,4,7,20,3,2
8,25,4,23,3,2,4
8,26,4,3,20,3,6
8,27,4,3,14,5,10
8,28,4,7,14,7,4
8,29,4,8,6,7,11
8,30,4,9,8,11,4
8,31,4,9,7,4,12
8,32,4,10,7,12,3
8,33,4,4,12,6,10
8,34,4,9,4,4,15
8,35,4,4,14,11,3
8,36,4,9,12,6,5
8,37,4,6,9,5,12
8,38,4,9,6,5,12
8,39,4,4,10,13,5
8,40,4,9,10,10,3
8,41,4,7,15,2,8
8,42,4,4,8,5,15
8,43,4,13,6,9,4
8,44,4,9,5,9,9
8,45,4,8,11,2,11
8,46,4,4,19,3,6
8,47,4,21,4,4,3
8,48,4,10,6,3,13
8,49,4,12,7,3,10
8,50,4,7,8,2,15
8,51,4,9,2,10,11
8,52,4,16,13,2,1
8,53,4,18,3,5,6
8,54,4,21,3,4,4
8,55,4,18,6,4,4
8,56,4,19,8,3,2
8,57,4,14,10,1,7
8,58,4,18,8,3,3
8,59,4,3,18,9,2
