VideoId,Segment,Number of cluster(K),Number of similar users,Similar users
V2,49,2,22,1-2-3-4-8-9-10-11-12-13-14-15-17-21-23-24-25-26-27-28-29-31
V2,50,2,20,1-2-3-4-8-9-10-11-13-14-16-17-21-23-24-25-26-27-28-31
V2,51,2,21,1-2-3-8-9-10-11-13-14-16-17-19-20-21-23-24-26-28-29-31-32
V2,52,2,21,2-3-5-8-9-10-11-13-14-16-17-19-20-21-23-24-26-28-29-31-32
V2,53,2,20,2-3-5-8-9-10-11-13-14-16-17-19-20-21-23-24-26-28-31-32
V2,54,2,19,2-5-7-8-9-10-11-13-14-16-17-20-21-23-24-26-28-31-32
V2,55,2,18,1-3-4-6-9-10-12-15-18-19-20-22-23-25-26-27-30-31
V2,56,2,17,1-3-4-6-9-10-12-15-18-19-20-22-23-25-26-30-31
V2,57,2,20,1-2-3-5-7-8-10-11-13-14-15-16-17-21-22-24-25-27-28-32
V2,58,2,17,2-3-5-7-8-10-11-14-15-16-17-20-22-24-25-27-32
V2,59,2,19,2-3-5-7-8-10-11-14-15-16-17-18-20-22-24-25-28-31-32
V2,60,2,19,2-3-5-7-10-11-12-14-15-16-17-18-20-22-23-24-28-31-32
V3,1,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32
V3,2,2,17,1-3-4-6-9-10-11-12-13-16-17-18-22-27-28-29-30
V3,3,2,20,1-4-5-6-7-8-10-11-12-14-17-18-20-23-24-25-27-28-29-30
V3,4,2,20,1-2-4-5-6-7-8-10-12-14-17-18-20-23-24-25-27-28-29-30
V3,5,2,23,1-2-4-5-6-7-8-9-10-12-14-17-18-20-21-22-23-24-25-27-28-29-30
V3,6,2,23,1-2-4-5-6-7-8-9-10-12-13-14-16-17-18-20-21-22-23-24-25-29-30
V3,7,2,23,1-2-4-5-6-8-9-12-13-14-16-17-18-19-20-21-22-24-25-28-29-30-31
V3,8,2,21,2-5-6-8-9-11-13-14-16-17-18-19-20-21-22-24-25-28-29-30-31
V3,9,2,24,1-2-3-4-6-7-8-10-11-12-13-14-15-16-20-21-22-23-24-25-26-27-29-32
V3,10,2,22,2-3-5-7-9-10-12-14-17-18-19-20-21-22-23-24-27-28-29-30-31-32
V3,11,2,22,1-2-4-6-7-8-10-11-12-13-14-15-16-20-21-22-23-25-26-27-29-31
V3,12,2,22,1-4-5-6-7-8-9-10-13-14-15-16-20-21-22-25-26-27-28-29-30-31
V3,13,2,22,1-4-5-6-8-9-10-12-13-14-16-20-21-22-23-25-26-27-29-30-31-32
V3,14,2,21,1-3-4-5-6-8-10-12-14-16-19-20-21-22-23-26-27-29-30-31-32
V3,15,2,16,2-6-7-8-9-11-13-17-18-20-21-23-24-25-27-28
V3,16,2,17,1-3-4-5-7-10-12-14-16-17-19-22-26-29-30-31-32
V3,17,2,18,1-3-4-5-7-10-11-12-14-16-17-19-22-26-29-30-31-32
V3,18,2,16,2-6-8-12-13-14-15-16-18-19-20-21-24-25-27-28
V3,19,2,18,1-3-4-7-9-10-11-12-13-17-18-22-23-26-29-30-31-32
V3,20,2,22,1-2-4-5-6-7-8-9-11-12-14-15-16-19-20-21-24-25-27-28-29-31
V3,21,2,18,1-3-4-5-8-9-11-12-14-15-19-20-21-25-27-28-29-31
V3,22,2,19,1-2-5-6-7-9-10-13-16-17-18-19-22-23-24-26-27-31-32
V3,23,2,20,1-2-5-6-7-9-10-13-16-17-18-19-22-23-24-26-27-29-31-32
V3,24,2,20,1-2-5-6-7-8-9-10-13-15-16-17-18-22-23-24-26-27-31-32
V3,25,2,24,1-2-5-6-7-8-9-10-13-15-16-17-18-19-20-21-22-23-25-26-27-28-31-32
V3,26,2,26,1-2-5-6-7-8-9-10-12-13-15-16-17-18-19-20-21-22-23-25-26-27-28-29-31-32
V3,27,2,21,1-2-5-6-7-9-12-13-15-17-18-19-20-23-25-26-27-28-29-31-32
V3,28,2,16,3-4-8-10-12-13-14-15-16-19-20-21-22-24-30-32
V3,29,2,31,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,30,2,31,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,31,2,17,3-5-10-12-13-14-19-20-21-22-23-24-28-29-30-31-32
V3,32,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-31-32
V3,33,2,18,2-3-5-7-8-9-10-11-12-13-14-16-21-23-24-25-28-30
V3,34,2,17,2-5-7-8-9-10-12-13-14-16-18-21-23-24-25-28-30
V3,35,2,18,2-4-5-6-7-8-9-10-11-12-13-14-15-17-18-23-24-30
V3,36,2,27,1-2-3-4-5-6-8-11-12-13-14-15-16-17-19-20-21-22-23-25-26-27-28-29-30-31-32
V3,37,2,29,1-2-3-4-5-6-8-9-11-12-13-14-15-16-17-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,38,2,30,1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,39,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,40,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31
V3,41,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31
V3,42,2,21,2-3-5-6-7-9-10-11-13-14-15-17-18-19-22-23-25-26-29-30-31
V3,43,2,26,1-2-3-4-5-7-8-9-12-13-14-15-16-18-19-20-21-22-24-25-26-27-28-29-30-32
V3,44,2,22,1-2-4-5-6-9-10-11-12-13-14-15-16-17-21-22-23-25-26-29-31-32
V3,45,2,29,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-31-32
V3,46,2,30,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,47,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,48,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V3,49,2,18,1-2-3-5-6-9-10-11-13-15-16-19-20-22-23-30-31-32
V3,50,2,23,1-3-4-5-6-8-9-10-11-12-13-14-15-16-19-20-21-22-23-26-30-31-32
V3,51,2,28,1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21-22-23-25-26-27-29-30-31-32
V3,52,2,21,3-5-6-8-9-10-11-12-13-16-17-20-21-22-23-25-27-29-30-31-32
V3,53,2,16,3-6-7-9-10-14-16-20-21-22-23-26-27-29-31-32
V3,54,2,16,1-2-3-6-7-9-10-14-18-19-20-21-23-24-26-32
V3,55,2,23,1-2-4-5-7-8-11-12-13-14-15-16-17-21-22-25-26-27-28-29-30-31-32
V3,56,2,18,2-4-5-8-12-13-15-16-17-21-22-23-25-27-28-30-31-32
V3,57,2,19,2-4-5-7-8-12-13-14-17-18-20-21-22-23-24-27-28-31-32
V3,58,2,24,1-2-3-4-5-6-9-10-11-12-13-14-15-16-19-20-21-22-23-26-28-29-30-31
V3,59,2,25,1-2-3-4-5-6-9-10-11-12-13-14-15-16-19-20-21-22-23-24-26-28-29-30-31
V3,60,2,26,1-2-3-4-5-6-9-10-11-12-13-14-15-16-19-20-21-23-24-26-27-28-29-30-31-32
V4,1,2,31,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-30-31-32
V4,2,2,18,2-3-5-10-12-14-17-18-20-21-22-23-24-26-27-28-29-31
V4,3,2,17,2-3-5-10-11-12-13-14-17-20-21-23-24-26-27-28-31
V4,4,2,20,1-2-4-6-7-9-11-13-14-15-16-17-18-19-21-22-23-29-30-32
V4,5,2,17,1-4-6-7-8-9-11-13-15-16-17-18-19-21-25-30-32
V4,6,2,20,1-4-5-10-11-13-14-16-17-18-20-21-23-24-26-27-28-29-31-32
V4,7,2,26,1-3-4-5-6-7-8-9-10-13-14-15-16-17-18-20-21-22-24-26-27-28-29-30-31-32
V4,8,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-29-30-32
V4,9,2,30,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32
V4,10,2,30,1-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V4,11,2,30,1-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V4,12,2,29,1-3-4-5-6-7-9-10-11-12-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V4,13,2,26,1-3-4-5-6-7-9-10-12-14-15-16-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V4,14,2,19,1-3-4-7-9-12-14-16-19-20-21-24-25-26-27-28-29-30-31
V4,15,2,18,1-3-4-7-8-9-14-19-20-21-24-25-26-27-28-29-30-31
V4,16,2,18,1-3-4-7-8-9-13-14-20-21-24-25-26-27-28-29-30-31
V4,17,2,19,1-3-4-7-8-9-13-15-20-21-23-24-25-26-27-28-29-30-31
V4,18,2,23,1-2-3-4-5-7-8-9-13-15-18-20-21-23-24-25-26-27-28-29-30-31-32
V4,19,2,23,1-2-4-5-7-8-9-13-15-17-18-20-21-23-24-25-26-27-28-29-30-31-32
V4,20,2,25,1-2-4-5-7-8-9-12-13-15-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32
V4,21,2,24,2-3-5-7-8-9-12-13-15-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32
V4,22,2,25,2-3-5-7-8-9-11-12-13-15-16-17-18-19-20-21-22-23-24-26-27-29-30-31-32
V4,23,2,23,2-3-5-7-8-9-11-12-13-15-16-17-18-20-21-23-24-26-27-29-30-31-32
V4,24,2,21,2-3-5-7-9-12-13-15-16-17-18-20-21-23-24-26-27-29-30-31-32
V4,25,2,23,1-2-3-5-7-9-10-12-13-15-16-17-18-20-21-23-24-26-27-28-29-31-32
V4,26,2,18,1-2-5-9-10-12-13-16-17-20-21-23-26-27-28-29-31-32
V4,27,2,21,1-2-3-5-10-12-13-14-16-17-19-20-21-23-25-26-27-28-29-31-32
V4,28,2,22,1-2-3-5-10-12-14-15-16-17-19-20-21-23-25-26-27-28-29-30-31-32
V4,29,2,21,1-2-3-5-10-12-13-14-15-16-17-19-21-23-25-26-28-29-30-31-32
V4,30,2,22,1-2-3-5-10-12-13-14-15-16-17-19-21-22-23-25-26-28-29-30-31-32
V4,31,2,22,1-2-3-5-10-12-13-14-15-16-17-19-21-22-23-25-26-28-29-30-31-32
V4,32,2,27,1-2-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25-26-28-29-30-31
V4,33,2,26,1-2-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-28-29-30-31
V4,34,2,28,1-2-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25-26-27-28-29-30-31
V4,35,2,29,1-2-3-4-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25-26-27-28-29-30-31
V4,36,2,28,1-2-3-4-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31
V4,37,2,27,1-2-3-4-5-7-8-9-10-11-12-13-14-15-16-18-19-20-21-22-23-26-27-28-29-30-31
V4,38,2,18,6-9-12-13-15-17-18-19-20-21-22-23-24-25-28-29-31-32
V4,39,2,19,5-6-8-9-12-15-17-18-19-20-21-22-24-25-27-28-29-31-32
V4,40,2,18,5-6-8-9-12-13-15-17-18-20-22-24-25-27-28-29-31-32
V4,41,2,16,5-6-8-12-13-15-17-18-20-22-24-25-28-29-31-32
V4,42,2,17,5-6-7-8-13-15-16-17-18-20-22-24-25-28-29-31-32
V4,43,2,20,5-6-7-8-9-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V4,44,2,19,4-5-6-7-8-13-15-16-17-18-19-20-21-22-25-28-29-31-32
V4,45,2,16,4-5-6-8-15-16-17-18-19-20-22-25-28-29-31-32
V4,46,2,17,1-2-3-7-9-10-11-12-13-14-20-21-23-24-26-27-30
V4,47,2,16,1-2-3-7-9-10-11-12-13-14-21-23-24-26-27-30
V4,48,2,17,1-2-3-7-8-9-10-11-12-13-14-21-23-24-26-27-30
V4,49,2,16,1-2-3-7-9-10-11-12-13-14-23-24-26-27-30-32
V4,50,2,17,4-5-6-8-13-15-16-17-18-19-20-21-22-25-28-29-31
V4,51,2,17,1-2-3-7-8-9-10-12-14-21-23-24-26-27-29-30-32
V4,52,2,18,4-5-6-11-13-15-16-17-18-19-20-22-24-25-28-29-31-32
V4,53,2,18,4-5-6-11-13-15-16-17-18-19-20-22-24-25-28-29-31-32
V4,54,2,18,4-5-6-11-13-15-16-17-18-19-20-22-24-25-28-29-31-32
V4,55,2,19,4-5-6-11-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V4,56,2,19,4-5-6-11-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V4,57,2,20,4-5-6-11-12-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V4,58,2,20,4-5-6-11-12-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V4,59,2,22,4-5-6-7-8-11-12-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V4,60,2,22,4-5-6-7-8-11-12-13-15-16-17-18-19-20-21-22-24-25-28-29-31-32
V5,1,2,20,1-4-6-7-8-9-11-13-15-16-18-19-21-22-23-24-25-28-30-32
V5,2,2,19,5-6-7-8-9-13-15-16-18-19-20-21-22-23-24-25-28-29-31
V5,3,2,20,1-5-6-7-8-13-15-16-17-18-19-20-21-22-23-24-25-26-28-29
V5,4,2,18,2-3-4-5-6-7-9-10-11-12-13-14-16-17-25-28-30-32
V5,5,2,30,1-2-3-4-5-6-7-8-9-10-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,6,2,31,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V5,7,2,31,1-2-3-4-5-6-7-8-9-10-11-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
