VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2),Number of Users(C3)
8,33,3,7,20,5
8,34,3,4,22,6
8,35,3,19,5,8
8,36,3,16,7,9
8,37,3,6,11,15
8,38,3,10,17,5
8,39,3,14,13,5
8,40,3,16,13,3
8,41,3,8,15,9
8,42,3,5,8,19
8,43,3,13,6,13
8,44,3,15,5,12
8,45,3,14,15,3
8,46,3,6,23,3
8,47,3,7,22,3
8,48,3,4,11,17
8,49,3,16,3,13
8,50,3,20,10,2
8,51,3,13,17,2
8,52,3,15,15,2
8,53,3,22,5,5
8,54,3,4,21,7
8,55,3,18,10,4
8,56,3,19,11,2
8,57,3,21,10,1
8,58,3,3,11,18
8,59,3,20,9,3
