VID,FrameID,Color,Texture,Edge
1,0,-9.22934,3.298,20.41438802
1,0,-9.43896,3.295,20.37952474
1,0,-9.17835,3.306,19.91523438
1,0,-8.7157,3.294,19.35465495
1,0,-8.36367,3.285,19.47584635
1,0,-7.57424,3.288,18.94625651
1,0,-7.81902,3.28,18.85052083
1,0,-6.8397,3.291,18.79020182
1,0,-2.30535,3.321,17.32926432
1,0,-0.58842,3.348,17.1936849
1,0,-0.71389,3.342,16.36139323
1,0,-0.42724,3.334,16.62480469
1,0,-1.34597,3.325,16.59436849
1,0,-14.64132,3.314,19.78629557
1,0,-15.66116,3.305,20.20078125
1,0,-16.12104,3.308,20.43541667
1,0,-17.60594,3.286,20.4
1,0,-18.42004,3.286,20.42545573
1,0,-18.19623,3.289,20.68388672
1,0,-18.77419,3.288,20.28544922
1,0,-19.14708,3.294,20.559375
1,0,-18.84962,3.296,20.64791667
1,0,-19.7569,3.299,20.81116536
1,0,-19.13097,3.302,21.12161458
1,0,-19.54454,3.297,20.73535156
1,0,-18.98088,3.291,20.65345052
1,0,-18.23312,3.282,20.69163411
1,0,-18.19504,3.274,20.61803385
1,0,-17.41003,3.259,20.97441406
1,0,-17.81524,3.271,20.89527995
1,0,-18.01463,3.28,21.12825521
1,0,-17.8792,3.288,21.38115234
1,0,-18.15887,3.282,21.29980469
1,0,-18.94432,3.284,20.84492188
1,0,-18.09283,3.285,20.86041667
1,0,-18.26075,3.281,20.60751953
1,0,-18.41993,3.287,20.67281901
1,0,-18.13216,3.284,20.46861979
1,0,-18.8095,3.28,20.52119141
1,0,-18.38569,3.277,20.53723958
1,0,-18.33965,3.281,20.25224609
1,0,-18.92477,3.28,20.42766927
1,0,-18.47589,3.285,20.69661458
1,0,-19.12254,3.291,20.86484375
1,0,-18.64199,3.288,20.46253255
1,0,-18.84121,3.282,20.51731771
1,0,-17.85999,3.284,20.61416016
1,0,-17.99925,3.279,20.03863932
1,0,-17.59245,3.281,20.43486328
1,0,-17.79848,3.281,20.70768229
1,0,-17.84987,3.29,20.52008464
1,0,-17.46725,3.29,20.94176432
1,0,-17.97923,3.29,21.06295573
1,0,-17.68176,3.295,20.7414388
1,0,-17.96258,3.292,20.50791016
1,0,-18.14011,3.287,20.39889323
1,0,-17.81416,3.29,20.08567708
1,0,-17.94766,3.272,19.75419922
1,0,-17.94423,3.29,20.34908854
1,0,-18.32625,3.294,20.54830729
1,0,-18.55731,3.294,20.78792318
1,0,-18.2804,3.298,20.74254557
1,0,-18.72244,3.298,21.03417969
1,0,-19.06531,3.297,20.98990885
1,0,-18.48872,3.298,20.88974609
1,0,-18.47568,3.296,21.0297526
1,0,-18.56611,3.297,20.9655599
1,0,-18.72926,3.294,21.10390625
1,0,-19.42555,3.29,20.42932943
1,0,-19.18216,3.28,20.75859375
1,0,-19.08117,3.291,20.93623047
1,0,-19.90243,3.296,21.20406901
1,0,-19.43819,3.304,21.23616536
1,0,-19.07697,3.308,21.15537109
1,0,-19.2239,3.309,21.2195638
1,0,-19.04377,3.313,21.32083333
1,0,-18.89699,3.318,21.13268229
1,0,-19.01961,3.317,21.51119792
1,0,-18.93518,3.314,21.42376302
1,0,-19.33914,3.313,20.88421224
1,0,-19.27808,3.315,21.2688151
1,0,-19.02612,3.319,21.59254557
1,0,-19.39552,3.315,21.52005208
1,0,-18.89528,3.315,21.42376302
1,0,-19.50759,3.313,20.96722005
1,0,-19.14123,3.312,20.88531901
1,0,-18.57425,3.313,20.82998047
1,0,-18.67629,3.31,21.11995443
1,0,-18.40815,3.313,21.02864583
1,0,-18.60285,3.314,20.98216146
1,0,-18.57034,3.313,21.1094401
1,0,-19.11349,3.313,20.93457031
1,0,-18.8086,3.31,21.08011068
1,0,-19.19773,3.311,21.67555339
1,0,-18.67505,3.311,21.36731771
1,0,-18.64339,3.311,21.3219401
1,0,-18.71653,3.306,21.33798828
1,0,-18.88215,3.302,20.87591146
1,0,-17.59446,3.261,20.43707682
1,0,-16.76329,3.205,20.23066406
1,0,-14.47501,3.226,19.47750651
1,0,-11.80176,3.246,20.43597005
1,0,-9.03316,3.233,19.87207031
1,0,-6.3266,3.28,19.29710286
1,0,-12.37659,3.226,19.71988932
1,0,-12.67403,3.25,20.1531901
1,0,-13.63094,3.252,20.29264323
1,0,-13.92005,3.244,18.72434896
1,0,-13.22054,3.242,18.71992188
1,0,-13.78226,3.239,18.48030599
1,0,-13.30587,3.246,19.13828125
1,0,-13.96306,3.248,19.20800781
1,0,-13.69223,3.26,18.86933594
1,0,-13.42207,3.263,18.65296224
1,0,-13.93177,3.249,18.63525391
1,0,-13.67781,3.244,18.79573568
1,0,-14.46241,3.237,18.76474609
1,0,-14.61357,3.233,19.00104167
1,0,-14.52393,3.235,18.98997396
1,0,-15.41379,3.214,18.96341146
1,0,-15.6602,3.21,19.11227214
1,0,-16.20344,3.208,19.0491862
1,0,-16.6372,3.21,19.21298828
1,0,-16.52768,3.216,19.60423177
1,0,-16.69562,3.217,19.35188802
1,0,-17.3123,3.218,19.5843099
1,0,-16.83552,3.222,20.01041667
1,0,-17.16743,3.225,19.72099609
1,0,-17.64183,3.229,19.83776042
1,0,-17.5658,3.23,19.94235026
1,0,-16.71068,3.225,19.92464193
1,0,-16.97176,3.226,20.11279297
1,0,-17.0945,3.228,19.91523438
1,0,-16.31097,3.23,20.08955078
1,0,-16.92212,3.234,20.24505208
1,0,-16.33633,3.239,20.39667969
1,0,-16.52429,3.242,20.665625
1,0,-16.6847,3.24,20.47304688
1,0,-16.38196,3.242,20.49407552
1,0,-16.44582,3.242,20.68001302
1,0,-16.07147,3.246,20.54664714
1,0,-16.2633,3.244,21.08896484
1,0,-16.28279,3.244,20.76578776
1,0,-15.85513,3.252,20.83496094
1,0,-16.18457,3.252,20.9008138
1,0,-16.69517,3.253,20.8211263
1,0,-16.3277,3.255,20.44980469
1,0,-16.53816,3.247,20.63020833
1,0,-16.84543,3.248,20.61914063
1,0,-15.9078,3.233,20.20465495
1,0,-16.16876,3.23,20.03697917
1,0,-16.0208,3.231,20.15651042
1,0,-16.05272,3.229,20.22402344
1,0,-16.15575,3.232,20.37177734
1,0,-15.88208,3.232,20.24117839
1,0,-15.83827,3.232,19.95729167
1,0,-15.92608,3.236,20.3014974
1,0,-15.93355,3.239,20.55107422
1,0,-16.36868,3.238,20.19801432
1,0,-16.66993,3.224,19.76803385
1,0,-16.45596,3.223,19.90582682
1,0,-16.9168,3.225,20.1648112
1,0,-17.12506,3.23,20.38339844
1,0,-16.59308,3.23,20.41272786
1,0,-16.70232,3.225,20.35960286
1,0,-16.42436,3.219,20.15761719
1,0,-16.7154,3.212,20.37177734
1,0,-16.05808,3.205,20.18528646
1,0,-15.69387,3.196,20.47027995
1,0,-16.1115,3.192,20.15872396
1,0,-16.65966,3.203,20.25501302
1,0,-17.29443,3.214,20.62467448
1,0,-17.83504,3.224,20.44703776
1,0,-18.05526,3.247,20.29928385
1,0,-18.58935,3.263,20.78958333
1,0,-18.77227,3.28,21.05686849
1,0,-19.00031,3.286,21.06848958
1,0,-19.31013,3.293,21.20738932
1,0,-19.81259,3.296,21.26936849
1,0,-19.84549,3.294,21.40771484
1,0,-20.40709,3.292,21.4968099
1,0,-19.96639,3.292,21.24335938
1,0,-19.76295,3.292,21.54938151
1,0,-20.05346,3.294,21.71871745
1,0,-19.70274,3.292,21.72369792
1,0,-19.74045,3.266,20.95449219
1,0,-19.3447,3.258,20.72981771
1,0,-19.01602,3.246,20.53502604
1,0,-17.5142,3.226,20.33857422
1,0,-15.68251,3.192,19.73483073
1,0,-12.71989,3.228,19.51790365
1,0,-12.95525,3.245,19.64352214
1,0,-12.83264,3.254,19.97832031
1,0,-11.81274,3.261,20.21184896
1,0,-11.61735,3.268,20.07958984
1,0,-9.23263,3.306,20.3811849
1,0,-8.67403,3.305,19.63079427
1,0,-7.74679,3.299,19.39892578
1,0,-7.76396,3.3,19.69609375
1,0,-8.76907,3.294,19.73261719
1,0,-11.29606,3.332,20.47802734
1,0,-13.00316,3.309,20.67115885
1,0,-13.47847,3.302,20.11057943
1,0,-12.89976,3.302,20.89915365
1,0,-14.42963,3.306,20.8742513
1,0,-16.33364,3.302,21.92734375
1,0,-17.34296,3.299,22.27708333
1,0,-17.79866,3.3,22.44863281
1,0,-17.77574,3.303,22.41708984
1,0,-18.38518,3.302,22.46634115
1,0,-18.65807,3.296,22.38333333
1,0,-18.57124,3.298,22.53164063
1,0,-18.55266,3.296,22.67220052
1,0,-18.24265,3.298,23.08447266
1,0,-18.77161,3.296,22.46966146
1,0,-18.50434,3.298,22.81774089
1,0,-19.09145,3.295,22.66279297
1,0,-19.03691,3.296,22.24996745
1,0,-18.68188,3.3,22.6500651
1,0,-19.09874,3.298,22.525
1,0,-18.77724,3.302,22.95442708
1,0,-19.15553,3.299,22.57923177
1,0,-19.22649,3.298,22.67828776
1,0,-19.07621,3.297,22.38333333
1,0,-19.10969,3.295,22.99703776
1,0,-18.70998,3.295,22.79671224
1,0,-18.90031,3.291,22.65836589
1,0,-18.9622,3.295,23.00921224
1,0,-19.35043,3.296,22.98098958
1,0,-19.15199,3.292,22.61630859
1,0,-19.58783,3.295,22.63346354
1,0,-19.05673,3.294,22.85371094
1,0,-18.92295,3.294,22.77402344
1,0,-18.88478,3.295,22.30364583
1,0,-18.81909,3.296,22.62405599
1,0,-18.85313,3.297,22.82548828
1,0,-18.86153,3.294,22.61298828
1,0,-19.00287,3.296,22.4148763
1,0,-18.8489,3.293,22.68216146
1,0,-18.80781,3.297,22.82272135
1,0,-18.81052,3.3,23.01861979
1,0,-19.07645,3.295,22.82327474
1,0,-19.07708,3.291,22.19296875
1,0,-18.90984,3.288,21.9140625
1,0,-19.29849,3.281,21.78069661
1,0,-18.46285,3.278,21.6672526
1,0,-18.71361,3.278,21.9483724
1,0,-18.86405,3.281,21.7093099
1,0,-18.6985,3.283,22.13486328
1,0,-18.91999,3.278,21.87532552
1,0,-18.74822,3.276,21.55491536
1,0,-18.98942,3.268,21.05797526
1,0,-19.03398,3.264,21.04690755
1,0,-18.79592,3.266,20.86705729
1,0,-18.87335,3.257,20.69440104
1,0,-18.38533,3.193,19.3336263
1,0,-17.7637,3.157,18.98665365
1,0,-16.44497,3.177,18.18977865
1,0,-15.79477,3.18,17.62200521
1,0,-15.11253,3.177,16.2828125
1,0,-12.45837,3.194,15.22363281
1,0,-10.61653,3.204,15.27841797
